index,language,lable
2492,happily i'm so ,english
2493, tyab‌nu prarambhincindi ,telugu
2494,inta tantanaikkana oppittu ,tamil
2495,midil‌sbreavineat tearra kaliyil ,malayalam
2496,"daihikavagi, manasikavagi mattu ",kannada
2497,2020 me kya ,hindi
2498,rich i own ,english
2499,jimeyillo imeyillu mariyu ,telugu
2500,pattirattilkanti irva  ,tamil
2501,a sisanil reanaldea ,malayalam
2502,samajikavagi sadrdharagiruvudu mukhya. ,kannada
2503,which was for ,hindi
2504,this much gold ,english
2505,gugul photoslo photolato ,telugu
2506,pekt  kaiyeluttittatarkaka ,tamil
2507,ake meattam  ,malayalam
2508,uttama siksanavu balyadindale ,kannada
2509,violation of 2.5 ,hindi
2510,this made him ,english
2511,saha viniyogadarulu tama ,telugu
2512,kantiyai makkal katumaiyaka ,tamil
2513,gealukal neti l ,malayalam
2514,"maneyindale prarambhavaguvudarinda, rastrada ",kannada
2515,cr or hamara ,hindi
2516,very happy one ,english
2517,gugul khata yokka ,telugu
2518,vimarcippatu polavum katcikal ,tamil
2519,aradhakar reanaldeavine phiphprea ,malayalam
2520,sarvatomukha abhivrd'dhige agatyavada ,kannada
2521,second round 4 ,hindi
2522,day a passerby ,english
2523,vividha sevalaloni vyaktigata ,telugu
2524,amaikkappattiruntana. akimcaiyai pinparrupavar ,tamil
2525,spesal pleyar oph ,malayalam
2526,mahileyara unnatigagi arogyakara ,kannada
2527,months back with ,hindi
2528,saw him digging ,english
2529,visayalanu vetakadaniki vilu ,telugu
2530,eppati imcai tarum ,tamil
2531,di iyar ayi ,malayalam
2532,kutumba agatyavide. saha ,kannada
2533,sarah valuation of ,hindi
2534,out and happened ,english
2535,kalpistundi. lo gugul ,telugu
2536,tukkutantanaikku opputal alikkalam? ,tamil
2537,tiranetuttu navambar disambar ,malayalam
2538,indu aneka hindulida ,kannada
2539,pisces kitna pyar ,hindi
2540,to see the ,english
2541,vartala sevanu prarambhincindi ,telugu
2542,enpatu pola karuttukal ,tamil
2543,masannalil tutarccyayi rant ,malayalam
2544,"pradesagalalli anaksarate, abhadrate ",kannada
2545,kitna rescue first ,hindi
2546,gold hidden by ,english
2547,idi vividha veb‌sait‌la ,telugu
2548,makkalal pecappattana. karuppina ,tamil
2549,tavana reanaldea barkles ,malayalam
2550,"mattu posakara badatanadindagi, ",kannada
2551,round by 27 ,hindi
2552,him gold under ,english
2553,nundi varta kathanalanu ,telugu
2554,makkalukku etirana inavatam ,tamil
2555,pleyar oph di ,malayalam
2556,cikka vayas'sinalle maduve ,kannada
2557,lacs mujhe pressure ,hindi
2558,the tree i ,english
2559,sangrahince svayancalaka seva. ,telugu
2560,ten appirikka kanti: ,tamil
2561,mant ayi tiranetukkappettu ,malayalam
2562,mattu herigeya pravrtti ,kannada
2563,poochna ke char ,hindi
2564,should wait today ,english
2565,tana detabes‌loni pustakalalo ,telugu
2566,peraracin pallakkup paniyalan ,tamil
2567,aru kalikalil ninnum ,malayalam
2568,"ide. mahileyarannu balapadisalu, ",kannada
2569,mahine play apni ,hindi
2570,gets dog the ,english
2571,pathanni sodhince parimitamaina ,telugu
2572,the south african ,tamil
2573,el gealukal netiyan ,malayalam
2574,"daurjan'ya linga taratamya, ",kannada
2575,sadi panch karo ,hindi
2576,robber waited till ,english
2577,viksana andince anumati ,telugu
2578,gandhi: stretcherbearer of ,tamil
2579,reanaldea i bahumatikalkk ,malayalam
2580,samajika pratyekate mattu ,kannada
2581,salvation diya aur ,hindi
2582,the night time ,english
2583,unte purti pustakanni ,telugu
2584,empire enra nulum ,tamil
2585,arhanayat inglis primiyar ,malayalam
2586,mahileyara melina daurjan'ya ,kannada
2587,abhi dus crore ,hindi
2588,to dig up ,english
2589,cupe gugul buksnu ,telugu
2590,teyvika mukamutikkup pinnal ,tamil
2591,liginre caritrattil innane ,malayalam
2592,ityadigalannu tadeyalu sarkaravu ,kannada
2593,q so basically ,hindi
2594,the gold he ,english
2595,kuda host cestundi. ,telugu
2596,ulla kanti gandhi ,tamil
2597,tutarccayayi rant tavana ,malayalam
2598,halavu kramagalannu tegedukolluttide. ,kannada
2599,escobar nominee coffee ,hindi
2600,took all the ,english
2601,gugul yokka adayam ,telugu
2602,enra nulum pira ,tamil
2603,i bahumati netunna ,malayalam
2604,linga asamanateyu bharatadallina ,kannada
2605,major players concord ,hindi
2606,gold buried under ,english
2607,cala varaku prakatanala ,telugu
2608,pala katturaikalum kantiyai ,tamil
2609,munnamatte kalikkaranan reanaldea ,malayalam
2610,"pramukha samajika samasyeyagiddu, ",kannada
2611,kaise kee techmahindra ,hindi
2612,the tree the ,english
2613,nundi utpatti avutundi. ,telugu
2614,avaratu ten appirikka ,tamil
2615,dennis berkam‌p reabi ,malayalam
2616,idaralli mahileyara purusa ,kannada
2617,hogaya and godrej ,hindi
2618,next day the ,english
2619,induloki yap‌la vikrayalu ,telugu
2620,eluttukkalaiyum ceyarpatukalaiyum munvaittum ,tamil
2621,phelar enni kalikkaran ,malayalam
2622,prabalyavu desadalli hindulidide. ,kannada
2623,maximal ke form ,hindi
2624,miser came back ,english
2625,yap‌lo cesina konugollu ,telugu
2626,karuppina makkalukku etirana ,tamil
2627,reanaldeavin mump i ,malayalam
2628,purusaru mattu mahileyarannu ,kannada
2629,ke saath hamara ,hindi
2630,to look at ,english
2631,gugul mariyu yutyublalo ,telugu
2632,inavatiyakavum vellai aracukku ,tamil
2633,nettam kaivaricca kalikkar ,malayalam
2634,samanavagi taralu mahila ,kannada
2635,order government of ,hindi
2636,his gold where's ,english
2637,dijital kantent utpattulu ,telugu
2638,carpana ariya perinavatiyakavum ,tamil
2639,mancesrrar sirrikketire reanaldea ,malayalam
2640,sabalikaranavannu vegagolisuva avasyakateyide. ,kannada
2641,maharashtra aur hum ,hindi
2642,my gold where ,english
2643,gugul klaud apharla ,telugu
2644,cittarikkinrana vimarcikkinrana. e.ka ,tamil
2645,yunairradile tanre ampatamatte ,malayalam
2646,ella ksetragalalli mahileyara ,kannada
2647,ne government of ,hindi
2648,is my gold ,english
2649,kosam svikarincina rusumulato ,telugu
2650,narral natal natulumanrattukku ,tamil
2651,geal neti ate ,malayalam
2652,unnatige rastriya adyate ,kannada
2653,india grant miller ,hindi
2654,the miser dug ,english
2655,saha andrayid laisensing ,telugu
2656, am antu ,tamil
2657,sisanil tanne yunairrad ,malayalam
2658,nidabeku. purusaru mattu ,kannada
2659,"recently 4 25,00,000 ",hindi
2660,a big hole ,english
2661,seva rusumulu vastayi. ,telugu
2662,kantiya elutiya oru ,tamil
2663,nalu varsannalkku sesam ,malayalam
2664,mahileyara naduvina asamanateyu ,kannada
2665,well done sales ,hindi
2666,where he used ,english
2667,lo i labhanlo ,telugu
2668,katitattil pinvarumaru kurukirar: ,tamil
2669,tannalute adyatte primiyarsipp ,malayalam
2670,rastrada abhivrd'dhiyalli pramukha ,kannada
2671,but i aur ,hindi
2672,to hide his ,english
2673,nalabhai aru satam ,telugu
2674,intiyarkalum ankileyarkalum intoariyarkal ,tamil
2675,kiritam neti tutarccayaya ,malayalam
2676,adetadegalannu untumaduva aneka ,kannada
2677,kitne farmers on ,hindi
2678,gold but he ,english
2679,ante $ kotlu ,telugu
2680,enra ore potuvana ,tamil
2681,rantam tavanayum reanaldea ,malayalam
2682,samasyegalannu untumaduttade. samajadalli ,kannada
2683,board kya matlab ,hindi
2684,couldn't find any ,english
2685,klik‌la klikkuku inta ,telugu
2686,mulattil iruntu vantavarkal. ,tamil
2687,phiphprea spesal pleyar ,malayalam
2688,purusarige samanavada pramukhyateyannu ,kannada
2689,apk app use ,hindi
2690,gold in the ,english
2691,dhara nundi vaccindi. ,telugu
2692,...kolanikalil intiyarkal appirikka ,tamil
2693,oph di iyar ,malayalam
2694,padeyabekembudu mahileyara janmasid'dha ,kannada
2695,kar rahe samne ,hindi
2696,hole who stole ,english
2697,. sodhana abhyarthanalanu ,telugu
2698,kattumirantikalai vita mempattavarkalaka ,tamil
2699,ayi tirannetukkappettu marcc ,malayalam
2700,hakku. nijavagiyu sabalikaranavannu ,kannada
2701,actually last month ,hindi
2702,my car listening ,english
2703,artham cesukovadam kosam ,telugu
2704,karutappatavillai. kulantaikalum itanai ,tamil
2705,l spanis klabbaya ,malayalam
2706,taralu mahileyaru tam'ma ,kannada
2707,last month first ,hindi
2708,to the miser ,english
2709,dani svanta algarithalato ,telugu
2710,nampa karpikkappatukirarkal. itanal ,tamil
2711,riyal madrid reanaldeavine ,malayalam
2712,hakkugala bagge tilidirabeku. ,kannada
2713,month of sales ,hindi
2714,crying all his ,english
2715,patu sodhana sandarbhaniki ,telugu
2716,intiyarkal paccaik kappulikalin ,tamil
2717,sanriyagea bernabaveayilekk riyalinre ,malayalam
2718,grha mattu kautumbika ,kannada
2719,yes major peela ,hindi
2720,neighbors came running ,english
2721,mariyu viniyogadaru caritraasaktiki ,telugu
2722,nilaikku kile ilukkappatukirarkal.intiya ,tamil
2723,kalikkalam keantupeakan € ,malayalam
2724,javabdarigalu matravallade mahileyaru ,kannada
2725,customer has given ,hindi
2726,to his house ,english
2727,taginattuga laksya prakatanalanu ,telugu
2728,vitutalai iyakkam enpatu ,tamil
2729,millyan vare keatukkan ,malayalam
2730,pratiyondu ksetradallu sakriya ,kannada
2731,tomorrow itself joke ,hindi
2732,what happened why ,english
2733,rupondincadaniki dabul klik ,telugu
2734,intiyavil irantu nurrantukalaka ,tamil
2735,tayyaranenna vartta parannu ,malayalam
2736,mattu sakaratmaka patravannu ,kannada
2737,400 catalyst order ,hindi
2738,are you upset ,english
2739,yokka sanketikatanu upayogistundi. ,telugu
2740,nititta ankilak kilakkintiya ,tamil
2741,pakse reanaldea yunairradumayi ,malayalam
2742,vahisabeku. avaru tam'ma ,kannada
2743,"for 15,00,000 oracle ",hindi
2744,the miser showed ,english
2745,  gugul‌ ,telugu
2746,kampeniyin atciyaiyum atanait ,tamil
2747,anc varsatte karar ,malayalam
2748,suttalina mattu desadalli ,kannada
2749,i pass tamil ,hindi
2750,them the whole ,english
2751,enalitiks veb‌sait dvara ,telugu
2752,totarntu vanta ankila ,tamil
2753,oppu veccu  ,malayalam
2754,nadeyuttiruva ghatanegalannu saha ,kannada
2755,nadu kerala or ,hindi
2756,i'm told him ,english
2757,yajamanulu tama veb‌sait‌nu ,telugu
2758,aracin atciyaiyum mutivukku ,tamil
2759,alccayil  enna ,malayalam
2760,tilidirabeku. mahila sabalikaranavu ,kannada
2761,karnataka small scale ,hindi
2762,everything about the ,english
2763,vyaktulu ekkada ela ,telugu
2764,kontu varum nokkil ,tamil
2765,sampala tukakk mancesrrar ,malayalam
2766,samaja mattu desadalli ,kannada
2767,farmers order science ,hindi
2768,gold he used ,english
2769,upayogistunnaro trak ceyadaniki ,telugu
2770,teciya alavilum pirantiya ,tamil
2771,yunairradinre caritrattil oru ,malayalam
2772,bahalastu badalayisuva saktiyannu ,kannada
2773,joke approximately around ,hindi
2774,to hide under ,english
2775,kudurutundi udaharanaku pejiloni ,telugu
2776,alavilum nikalnta kalakankal ,tamil
2777,kalikkaran labhicca erravum ,malayalam
2778,hondide. samajada yavude ,kannada
2779,"2,00,000 additional total ",hindi
2780,the tree did ,english
2781,anni linkakula mida ,telugu
2782,akimcai valip porattankal ,tamil
2783,kututal sampalamanit  ,malayalam
2784,samasyeyannu purusariginta uttamavagi ,kannada
2785,revenue pipeline kitni ,hindi
2786,you ever spent ,english
2787,klik retlanu parisilincadam ,telugu
2788,mutaliya palveru nikalvukalai ,tamil
2789,tanre kariyariladyamayi yuvepha ,malayalam
2790,nibhayisaballalu. desa mattu ,kannada
2791,hui actually hamaare ,hindi
2792,any of your ,english
2793,dvara entamandi nokkaro ,telugu
2794,kurikkum oru parantupatta ,tamil
2795,campyans lig kiritam ,malayalam
2796,kutumbakke adhika janasankhyeya ,kannada
2797,paas abhi pipeline ,hindi
2798,gold no i ,english
2799,telustundi. gugul prakatanalanu ,telugu
2800,varalaru‍ akum. ivviyakkam ,tamil
2801,netiya sisananit measkeavil ,malayalam
2802,nastavannu avalu cennagi ,kannada
2803,presently 4000 colour ,hindi
2804,would only dig ,english
2805,thard parti veb‌sait‌lalo ,telugu
2806,pirikkappatata intiya marrum ,tamil
2807,vecc natanna phainalil ,malayalam
2808,arthamadikollaballalu. uttama kutumba ,kannada
2809,cortana which can ,hindi
2810,it up looking ,english
2811,kuda uncavaccu. gugul ,telugu
2812,antai natukalil iruntu ,tamil
2813,celsikketire geal netanum ,malayalam
2814,"yojaneyondige, avaru desada ",kannada
2815,generate a front ,hindi
2816,at it made ,english
2817,pani mariyu utpadakataku ,telugu
2818,ankila aracai vilakkuvatu ,tamil
2819,krisrriyaneaykkayi a sisanil ,malayalam
2820,mattu kutumbada arthika ,kannada
2821,revenue of 54 ,hindi
2822,me happy shingnapur ,english
2823,gugul daks gugul ,telugu
2824,marrum ankellam cutantira ,tamil
2825,campyans lig teap ,malayalam
2826,sthitiyannu sampurnavagi nibhayisalu ,kannada
2827,lacs and monthly ,hindi
2828,used anything at ,english
2829,sit‌lu mariyu gugul ,telugu
2830,aracai erpatutti cuya ,tamil
2831,s‌kearar avanum addehattinayi ,malayalam
2832,samartharagiddare. mahileyaru purusariginta ,kannada
2833,of 6.7 lacs ,hindi
2834,all the gold ,english
2835,slayidlu imeyillaku jimeyil ,telugu
2836,atciyai nirmanippatu mutaliya ,tamil
2837,phainalil penalrri suttattil ,malayalam
2838,yavude parinamakari hinseyannu ,kannada
2839,per month manufacturing ,hindi
2840,was of no ,english
2841,sedyuling mariyu samaya ,telugu
2842,palveru nokkankalukkaka etuttu ,tamil
2843,penalrri palakkiyenkilum mancasrrar ,malayalam
2844,"nibhayisalu samartharagiddare, adu ",kannada
2845,cost jiogames lower ,hindi
2846,use to you ,english
2847,nirvahanaku gugul kyalendar ,telugu
2848,cellappatta iyakkam akum. ,tamil
2849,yunaira  cristiano ,malayalam
2850,kutumba athava samajikavagirabahudu. ,kannada
2851,quantities me bana ,hindi
2852,because you had ,english
2853,klaud nilvalaku gugul ,telugu
2854,inta iyakkankalin arampakatta ,tamil
2855,ronaldo and lionel ,malayalam
2856,"mahila sabalikaranada mulaka, ",kannada
2857,hai ek hazaar ,hindi
2858,it in the ,english
2859,draiv taksana sandesam ,telugu
2860,etirppukal  am ,tamil
2861,messi  portugal ,malayalam
2862,balavada arthikateya stri-purusa ,kannada
2863,do saal ki ,hindi
2864,ground just look ,english
2865,vidiyo cat ku ,telugu
2866,nurrantil karnatakavil porttukkiciya ,tamil
2867,vs argentina th ,malayalam
2868,samanate hondiruva desavannu ,kannada
2869,aurus base 2 ,hindi
2870,into the whole ,english
2871,gugul dyuyo gugul ,telugu
2872,kalaniya virivakkattin tuvakkattilum ,tamil
2873,february jpg balsaykketire ,malayalam
2874,purusa prabhavada desadondige ,kannada
2875,solution india bar ,hindi
2876,i think that ,english
2877,cat mariyu gugul ,telugu
2878,kalin mattiya kalam ,tamil
2879,natanna spanis suppar ,malayalam
2880,badalayisalu sadhyavide. mahila ,kannada
2881,already binoy solutions$10 ,hindi
2882,the gold just ,english
2883,mit bhasa anuvadaniki ,telugu
2884,marrum irutik kalankalil ,tamil
2885,kappinre adya pada ,malayalam
2886,"sabalikaranada sahayadinda, kutumbada ",kannada
2887,k beech main ,hindi
2888,did inside it ,english
2889,gugul anuvadam myaping ,telugu
2890,vankalattil pirittaniyak kilakkintiyak ,tamil
2891,matsarattil reanaldea sisanile ,malayalam
2892,pratiyobba sadasyaru heccu ,kannada
2893,aapaka capitalise hamaara ,hindi
2894,then you can ,english
2895,mariyu navigesan ku ,telugu
2896,kampeniyalum ceyyappatta kalattileye ,tamil
2897,tanre adya geal ,malayalam
2898,sramavillade sulabhavagi abhivrd'dhi ,kannada
2899,$20 global jo ,hindi
2900,be as happy ,english
2901,gugul myaps vej ,telugu
2902,kanappatukinrana. mutal amaippu ,tamil
2903,neti mesyutt osil ,malayalam
2904,honduttare. kutumbadalli elladakku ,kannada
2905,hai aapke competitor ,hindi
2906,as you were ,english
2907,gugul ert mariyu ,telugu
2908,ritiyana poratta iyakkam ,tamil
2909,etutta kearnar kikkil ,malayalam
2910,mahileyannu bahala javabdaranendu ,kannada
2911,same her multiple ,hindi
2912,before labour started ,english
2913,strit vyu pod‌kastlanu ,telugu
2914,vankalattil niruvappattatu. anal ,tamil
2915,ninnum hedariluteyayirunnu geal ,malayalam
2916,"pariganisalaguttade, addarinda avalu ",kannada
2917,options majorly logo ,hindi
2918,to laugh and ,english
2919,pancukodaniki gugul pad‌kast‌ ,telugu
2920,pinnalil itu araciyal ,tamil
2921,matsarattil rayal n ,malayalam
2922,ella samasyegalannu cennagi ,kannada
2923,colour used in ,hindi
2924,left him with ,english
2925,vidiyolu pancukodaniki yutyub ,telugu
2926,kalattil putitaka niruvappatta ,tamil
2927,tearru a sisanil ,malayalam
2928,pariharisabahudu. mahila sabalikaranadinda ,kannada
2929,companies click in ,hindi
2930,the empty home ,english
2931,blag pracuranaku blagar ,telugu
2932,intiya teciya kankiras ,tamil
2933,ralinrre jarman klabbaya ,malayalam
2934,idi samaja tanagiye ,kannada
2935,your tag vallabhbhai ,hindi
2936,now i understood ,english
2937,nots rasukodaniki gugul ,telugu
2938,enra maiya nirotta ,tamil
2939,salkkeyilekkulla kutumarram mulam ,malayalam
2940,sadrdhavaguttade. vivaraneyu ella ,kannada
2941,compare same logic ,hindi
2942,it here i ,english
2943,kip jambord citralu ,telugu
2944,iyakkamaka vativametuttatu. itiliruntu ,tamil
2945,tanre isttapetta nampar ,malayalam
2946,brhat pramanada marukatte ,kannada
2947,yeah it's a ,hindi
2948,should utilise my ,english
2949,erparucukodaniki mariyu edit ,telugu
2950,intiya cocalica kankiracum ,tamil
2951, jel‌si labhiccu ,malayalam
2952,beleyagiddare mattu avaru ,kannada
2953,farmer ko kuchh ,hindi
2954,money in something ,english
2955,ceyadaniki gugul photolu ,telugu
2956,niruva valikoliyatu. intiya ,tamil
2957,a sisanil resing ,malayalam
2958,marukatteya beleyannu bere ,kannada
2959,business maybe phaayada ,hindi
2960,good yes too ,english
2961,avasaramaina sevalanu andistundi. ,telugu
2962,teciya kankiras totankappatta ,tamil
2963,sanrrandarumayi reanaldea oru ,malayalam
2964,ritiyalli pavatisidare paradeya ,kannada
2965,ho raha hai ,hindi
2966,because wealth unused ,english
2967,marci lo gugul ,telugu
2968,kalattil ikkatci cutantirattai ,tamil
2969,kaliyil tanne  ,malayalam
2970,mele budu bannakke ,kannada
2971,fill important heat ,hindi
2972,might as well ,english
2973,stediya peruto klaud ,telugu
2974,korum katciyaka irukkavillai. ,tamil
2975,gealukal neti a ,malayalam
2976,sid'dharagalu sid'dhariddare mattu ,kannada
2977,cycle track karna ,hindi
2978,not exist love ,english
2979,geming sarvis‌nu aviskarincindi. ,telugu
2980,ikkatciyai cernta mitavata ,tamil
2981,sisanil tanne atlarrikea ,malayalam
2982,tande nanage ondannu ,kannada
2983,aur inseminate karna ,hindi
2984,you tofu stop ,english
2985,udyogalu vetakadaniki ki ,telugu
2986,talaivarkal munvaitta korikkaikal ,tamil
